Glottocode,LanguageName,Source,consonant,tone,vowel
colo1256,Colorado; Tsafiki,ph,16,0,9
colo1256,Tsáfiki,saphon,16,0,10
coma1245,Comanche,ph,12,0,6
como1259,Comox,ph,37,0,5
copa1236,Zoque,spa,26,0,6
copa1236,ZOQUE,upsid,16,0,6
copi1238,Copi,gm,61,2,5
coro1247,Ancash Quechua,saphon,18,0,6
croa1245,Croatian,ph,25,0,11
cros1244,mbembe,aa,28,2,7
crow1244,Crow,ph,10,3,10
cube1242,CUBEO,upsid,11,0,12
cube1242,Kubeo,saphon,11,0,6
cuib1242,Cuiba,saphon,17,0,8
culi1244,Kulina,saphon,17,0,4
cupe1243,Cupeno,ph,27,0,11
curr1243,Curripaco,saphon,25,0,4
cusc1236,Cuzco-Collao Quechua,saphon,26,0,5
cuvo1236,Cuvok,ph,27,0,2
czec1258,Czech,ea,54,0,26
czec1258,Czech,ph,25,0,13
dadi1250,DADIBI,upsid,13,0,10
dagb1246,dagbani,aa,23,2,6
dagb1246,Dagbani,spa,24,2,11
dagb1246,DAGBANI,upsid,23,0,6
dagi1241,Thakik,gm,16,0,10
daha1245,DAHALO,upsid,54,0,5
dakp1242,Northern Cuona,ea,34,0,19
dalo1238,BETE,upsid,24,0,13
dang1274,DANGALEAT,upsid,21,0,7
dani1285,Danish,ea,15,0,11
dani1285,Danish,uz,20,0,49
dann1241,dan,aa,20,5,23
dann1241,Dan,gm,44,8,40
dann1241,DAN,upsid,19,0,20
darf1239,DAJU,upsid,24,0,6
dark1243,Darkhat,ea,20,0,19
darl1243,Southern Paakintyi,er,20,0,6
darm1243,Darma,ea,26,0,8
darm1243,Darmiya,ra,34,0,8
daun1234,Daungwurrung,er,20,0,3
daur1238,DAGUR,upsid,22,0,7
daur1238,Daur,ea,45,0,12
dawr1236,KULLO,upsid,24,0,5
daww1239,Dâw,saphon,24,0,15
daza1242,daza,aa,21,0,11
defa1248,Defaka,gm,18,5,19
dege1246,Degema,gm,24,2,10
degg1238,mo,aa,22,0,30
deni1241,Dení,saphon,18,0,4
deny1238,Denya,ph,22,0,8
dera1245,DERA,upsid,11,0,6
dera1248,KANAKURU,upsid,24,0,11
desa1247,Desano,saphon,12,0,6
dghw1239,Dghwede,gm,33,2,3
dhal1245,Thalanyji,er,20,0,6
