LanguageName,ejective,non_ejective,total,have_ejectives,is.gl
HOPI,0,22,22,FALSE,TRUE
Hoti,0,21,21,FALSE,TRUE
Huambisa,0,15,15,FALSE,TRUE
Huastec,5,21,26,TRUE,TRUE
Huichol,0,15,15,FALSE,TRUE
Hungarian,0,50,50,FALSE,TRUE
HUNGARIAN,0,26,26,FALSE,TRUE
Hupa,8,27,35,TRUE,TRUE
HUPA,6,22,28,TRUE,TRUE
IBAN,0,19,19,FALSE,TRUE
Ibani,0,25,25,FALSE,TRUE
Ibibio,0,17,17,FALSE,TRUE
Icelandic,0,23,23,FALSE,TRUE
Ida'an,0,17,17,FALSE,TRUE
Idu,0,47,47,FALSE,TRUE
igbo,0,28,28,FALSE,TRUE
Igbo,0,46,46,FALSE,TRUE
IGBO,0,43,43,FALSE,TRUE
igede,0,24,24,FALSE,TRUE
Ignaciano,0,15,15,FALSE,TRUE
Igo,0,23,23,FALSE,TRUE
IK,3,28,31,TRUE,TRUE
Ika,0,31,31,FALSE,TRUE
Ikpeng,0,12,12,FALSE,TRUE
Ikwere,0,23,23,FALSE,TRUE
Imonda,0,13,13,FALSE,TRUE
Indonesian,0,45,45,FALSE,TRUE
Ingush,6,29,35,TRUE,TRUE
Iquito,0,11,11,FALSE,TRUE
Iraqw,2,31,33,TRUE,TRUE
IRAQW,2,31,33,TRUE,TRUE
IRARUTU,0,12,12,FALSE,TRUE
IRISH,0,45,45,FALSE,TRUE
Irula,0,31,31,FALSE,TRUE
Island Carib,0,17,17,FALSE,TRUE
ISLAND CARIB,0,16,16,FALSE,TRUE
ISOKO,0,28,28,FALSE,TRUE
Italian,0,23,23,FALSE,TRUE
ITELMEN,5,22,27,TRUE,TRUE
Itonama,6,32,38,TRUE,TRUE
ITONAMA,3,16,19,TRUE,TRUE
IWAM,0,11,11,FALSE,TRUE
Iyive,0,53,53,FALSE,TRUE
Izere,0,27,27,FALSE,TRUE
Japanese,0,27,27,FALSE,TRUE
JAPANESE,0,15,15,FALSE,TRUE
Japreria,0,14,14,FALSE,TRUE
JAPRERIA,0,12,12,FALSE,TRUE
Jaqaru,8,28,36,TRUE,TRUE
JAQARU,8,28,36,TRUE,TRUE
Jaunsari,0,34,34,FALSE,TRUE
Javanese,0,46,46,FALSE,TRUE
JAVANESE,0,21,21,FALSE,TRUE
JEBERO,0,19,19,FALSE,TRUE
Jere,0,24,24,FALSE,TRUE
Jiarong,0,49,49,FALSE,TRUE
Jicarilla Apache,5,29,34,TRUE,TRUE
Jita,0,17,17,FALSE,TRUE
jowulu,0,20,20,FALSE,TRUE
Juang,0,43,43,FALSE,TRUE
Jumjum,0,20,20,FALSE,TRUE
Kabardian,10,39,49,TRUE,TRUE
KABARDIAN,10,39,49,TRUE,TRUE
Kabiye,0,22,22,FALSE,TRUE
Kabyle,0,27,27,FALSE,TRUE
Kadiweu,0,23,23,FALSE,TRUE
Kagulu,0,26,26,FALSE,TRUE
Kaingang,0,11,11,FALSE,TRUE
KAINGANG,0,13,13,FALSE,TRUE
Kakabe,0,22,22,FALSE,TRUE
Kako,0,33,33,FALSE,TRUE
Kakua,0,21,21,FALSE,TRUE
KALA LAGAW YA,0,18,18,FALSE,TRUE
KAM,0,20,20,FALSE,TRUE
Kamasau,0,23,23,FALSE,TRUE
Kambaata,12,37,49,TRUE,TRUE
Kambera,0,19,19,FALSE,TRUE
Kangri,0,29,29,FALSE,TRUE
Kannada,0,36,36,FALSE,TRUE
Kanoe,0,12,12,FALSE,TRUE
Karok,0,27,27,FALSE,TRUE
KAROK,0,16,16,FALSE,TRUE
kasem,0,19,19,FALSE,TRUE
Kashmiri,0,28,28,FALSE,TRUE
KASHMIRI,0,27,27,FALSE,TRUE
KAWAIISU,0,25,25,FALSE,TRUE
Keiga,0,37,37,FALSE,TRUE
Kemezung,0,20,20,FALSE,TRUE
Kenyang,0,21,21,FALSE,TRUE
KERA,0,24,24,FALSE,TRUE
Ket,0,18,18,FALSE,TRUE
KET,0,18,18,FALSE,TRUE
kete,0,16,16,FALSE,TRUE
Kharia,0,99,99,FALSE,TRUE
KHARIA,0,31,31,FALSE,TRUE
Khasi,0,46,46,FALSE,TRUE
KHASI,0,21,21,FALSE,TRUE
Khmu,0,20,20,FALSE,TRUE
kikuyu,0,18,18,FALSE,TRUE
Kimaragang,0,18,18,FALSE,TRUE
Kinyarwanda,0,39,39,FALSE,TRUE
KIOWA,4,18,22,TRUE,TRUE
Kipsigis,0,14,14,FALSE,TRUE
Kirghiz,0,20,20,FALSE,TRUE
KIRGHIZ,0,22,22,FALSE,TRUE
Kirike,0,24,24,FALSE,TRUE
KLAO,0,11,11,FALSE,TRUE
Koasati,0,15,15,FALSE,TRUE
Kofyar,0,23,23,FALSE,TRUE
KOHUMONO,0,28,28,FALSE,TRUE
Kokota,0,22,22,FALSE,TRUE
Konkani,0,35,35,FALSE,TRUE
KONKANI,0,19,19,FALSE,TRUE
konkomba,0,22,22,FALSE,TRUE
Konkomba,0,21,21,FALSE,TRUE
Konni,0,31,31,FALSE,TRUE
Koorete,8,43,51,TRUE,TRUE
Korean,0,22,22,FALSE,TRUE
KOREAN,0,21,21,FALSE,TRUE
Koreguaje,0,18,18,FALSE,TRUE
Korku,0,26,26,FALSE,TRUE
Korubo,0,14,14,FALSE,TRUE
KORYAK,0,16,16,FALSE,TRUE
Koshin,0,23,23,FALSE,TRUE
Koya,0,21,21,FALSE,TRUE
KOYA,0,19,19,FALSE,TRUE
Koyaga,0,29,29,FALSE,TRUE
KPAN,0,24,24,FALSE,TRUE
Krache,0,17,17,FALSE,TRUE
Krenak,0,22,22,FALSE,TRUE
Krim,0,22,22,FALSE,TRUE
krio,0,22,22,FALSE,TRUE
Krio,0,25,25,FALSE,TRUE
Krongo,0,40,40,FALSE,TRUE
KUNAMA,0,19,19,FALSE,TRUE
Kunimaipa,0,15,15,FALSE,TRUE
KUNIMAIPA,0,15,15,FALSE,TRUE
Kunjen,0,23,23,FALSE,TRUE
Kunza,5,18,23,TRUE,TRUE
Kuo,0,29,29,FALSE,TRUE
Kuot,0,13,13,FALSE,TRUE
Kupang Malay,0,19,19,FALSE,TRUE
Kuranko,0,26,26,FALSE,TRUE
kuria,0,15,15,FALSE,TRUE
Kurukh,0,46,46,FALSE,TRUE
KURUKH,0,21,21,FALSE,TRUE
Kusunda,0,32,32,FALSE,TRUE
Kuvi,0,50,50,FALSE,TRUE
KWAIO,0,16,16,FALSE,TRUE
Kwama,4,16,20,TRUE,TRUE
Kwambi,0,29,29,FALSE,TRUE
Kwami,0,28,28,FALSE,TRUE
Kwanja,0,21,21,FALSE,TRUE
Kwaza,0,48,48,FALSE,TRUE
KWOMA,0,24,24,FALSE,TRUE
Lagwan,4,30,34,TRUE,TRUE
Lahu,0,26,26,FALSE,TRUE
LAHU,0,26,26,FALSE,TRUE
Lak,10,50,60,TRUE,TRUE
LAK,10,50,60,TRUE,TRUE
Lakkia,0,31,31,FALSE,TRUE
LAKKIA,0,33,33,FALSE,TRUE
Lamang,0,37,37,FALSE,TRUE
LAME,0,30,30,FALSE,TRUE
Langi,0,32,32,FALSE,TRUE
Lao,0,28,28,FALSE,TRUE
Larantuka Malay,0,19,19,FALSE,TRUE
Latunde,0,12,12,FALSE,TRUE
Lavukaleve,0,15,15,FALSE,TRUE
Laz,5,22,27,TRUE,TRUE
Leco,4,20,24,TRUE,TRUE
lega-shabunda,0,18,18,FALSE,TRUE
LELEMI,0,22,22,FALSE,TRUE
LENAKEL,0,15,15,FALSE,TRUE
lendu,0,43,43,FALSE,TRUE
Lengola,0,24,24,FALSE,TRUE
ligbi,0,22,22,FALSE,TRUE
limbum,0,22,22,FALSE,TRUE
lingala,0,15,15,FALSE,TRUE
Lisu,0,25,25,FALSE,TRUE
Lithuanian,0,36,36,FALSE,TRUE
LITHUANIAN,0,36,36,FALSE,TRUE
Logba,0,25,25,FALSE,TRUE
Logo,0,27,27,FALSE,TRUE
Lokono,0,16,16,FALSE,TRUE
Loniu,0,16,16,FALSE,TRUE
lugbara,0,26,26,FALSE,TRUE
LUGBARA,0,26,26,FALSE,TRUE
Luiseno,0,23,23,FALSE,TRUE
LUISENO,0,21,21,FALSE,TRUE
Lule,3,13,16,TRUE,TRUE
Lumun,0,17,17,FALSE,TRUE
