participant_id,age,handedness,sex,question_id,answer,time_ms
086805c265966ff2a53482f3b6c1328c,27,right,male,92,Correct,3632
086805c265966ff2a53482f3b6c1328c,27,right,male,93,Correct,2648
086805c265966ff2a53482f3b6c1328c,27,right,male,94,Correct,1676
086805c265966ff2a53482f3b6c1328c,27,right,male,95,Correct,2127
086805c265966ff2a53482f3b6c1328c,27,right,male,96,Wrong,2276
086805c265966ff2a53482f3b6c1328c,27,right,male,97,Correct,1337
086805c265966ff2a53482f3b6c1328c,27,right,male,98,Correct,1231
086805c265966ff2a53482f3b6c1328c,27,right,male,99,Correct,2602
086805c265966ff2a53482f3b6c1328c,27,right,male,100,Correct,1706
086805c265966ff2a53482f3b6c1328c,27,right,male,101,Correct,3550
086805c265966ff2a53482f3b6c1328c,27,right,male,102,Correct,2829
086805c265966ff2a53482f3b6c1328c,27,right,male,103,Correct,2637
086805c265966ff2a53482f3b6c1328c,27,right,male,104,Correct,2319
086805c265966ff2a53482f3b6c1328c,27,right,male,105,Correct,1519
086805c265966ff2a53482f3b6c1328c,27,right,male,106,Correct,1754
086805c265966ff2a53482f3b6c1328c,27,right,male,107,Correct,1341
086805c265966ff2a53482f3b6c1328c,27,right,male,108,Wrong,1333
086805c265966ff2a53482f3b6c1328c,27,right,male,109,Wrong,1930
086805c265966ff2a53482f3b6c1328c,27,right,male,110,Wrong,2672
086805c265966ff2a53482f3b6c1328c,27,right,male,111,Wrong,2351
086805c265966ff2a53482f3b6c1328c,27,right,male,112,Wrong,1712
086805c265966ff2a53482f3b6c1328c,27,right,male,113,Wrong,2415
086805c265966ff2a53482f3b6c1328c,27,right,male,114,Wrong,1235
086805c265966ff2a53482f3b6c1328c,27,right,male,115,Wrong,2035
086805c265966ff2a53482f3b6c1328c,27,right,male,116,Wrong,3303
086805c265966ff2a53482f3b6c1328c,27,right,male,117,Wrong,1405
086805c265966ff2a53482f3b6c1328c,27,right,male,118,Wrong,3522
086805c265966ff2a53482f3b6c1328c,27,right,male,119,Wrong,1160
086805c265966ff2a53482f3b6c1328c,27,right,male,120,Wrong,2188
086805c265966ff2a53482f3b6c1328c,27,right,male,121,Wrong,1206
086805c265966ff2a53482f3b6c1328c,27,right,male,122,Wrong,3827
086805c265966ff2a53482f3b6c1328c,27,right,male,123,Wrong,2694
086805c265966ff2a53482f3b6c1328c,27,right,male,124,Wrong,1909
086805c265966ff2a53482f3b6c1328c,27,right,male,125,Wrong,2829
086805c265966ff2a53482f3b6c1328c,27,right,male,126,Wrong,2137
086805c265966ff2a53482f3b6c1328c,27,right,male,127,Wrong,3155
086805c265966ff2a53482f3b6c1328c,27,right,male,128,Wrong,2594
086805c265966ff2a53482f3b6c1328c,27,right,male,129,Correct,3064
086805c265966ff2a53482f3b6c1328c,27,right,male,130,Wrong,1345
086805c265966ff2a53482f3b6c1328c,27,right,male,131,Wrong,2508
086805c265966ff2a53482f3b6c1328c,27,right,male,132,Wrong,1810
086805c265966ff2a53482f3b6c1328c,27,right,male,133,Wrong,2792
086805c265966ff2a53482f3b6c1328c,27,right,male,134,Wrong,2487
0912f84f2fb81492f8e7a4c5c02d33a9,40,right,female,81,Correct,1280
0912f84f2fb81492f8e7a4c5c02d33a9,40,right,female,82,Correct,3210
